"","SiteNo","SiteID.NMBGMR","Easting","Northing","AltVa","OSEWellID","HoleDepth","WellDepth","FormationZone.NMBGMR","DecLongVa","DecLatVa","AgencyCd","AgencyNm"
"38","TO-0410",NA,"403,564","3,870,120","6,216","","","198","112QTBF",-11806145.02,4159676.238,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"39","BW-0704",NA,"228,668","3,907,970","6,634","","","500","313SADR",-12020627.77,4201744.422,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"40","SD-0221",NA,"391,031","3,883,780","6,552","X","300","300","325MDER",-11821624.91,4176245.197,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"41","SD-0074",NA,"363,573","3,870,460","5,681","X","21","21","110ALVM",-11854905.07,4159467.696,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"42","BC-0130",NA,"384,155","3,873,160","7,263","E-08248 S5","385","385","",-11829855.4,4163123.285,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"43","BC-0329",NA,"378,704","3,885,770","6,841","","","","",-11836708.16,4178494.427,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"44","SV-0022",NA,"380,813","3,899,488","6,416","RG-71097 POD1","140","140","325MDER",-11834353.29,4195369.311,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"45","EB-212",3.53e+14,"405,848","3,926,044","6,223","RG-34646","525","410","123ESPN",-11804072.61,4228409.753,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"46","BC-0071",NA,"377,834","3,890,630","6,972","S-02546","","","",-11837850.55,4184443.401,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"47","SD-0127",NA,"376,320","3,887,890","7,073","X","500","500","211MVRD",-11839654.74,4181055.823,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"48","SD-0293",NA,"383,925","3,888,990","6,914","X","310","310","325MDER",-11830382.57,4182528.934,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"49","TO-0404",NA,"398,060","3,872,510","6,340","","","125","112QTBF",-11812888.26,4162530.462,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"50","EB-668",NA,"414,482","3,943,745","6,993","RG-10316 CLW","400","400","121TSUQs",-11793688.17,4250351.827,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"51","SD-0237",NA,"375,778","3,892,230","7,038","X","70","70","300YESO",-11840389.43,4186372.989,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"52","SD-0292",NA,"383,988","3,889,220","6,883","X","97","97","325MDER",-11830309.2,4182812.175,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"53","EB-611",NA,"405,227","3,949,987","6,575","RG-82308","2,016","2,000","121TSUQsf",-11805146.95,4257945.974,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"54","EB-661",NA,"407,765","3,939,546","6,483","RG-86221","1,800","620","121TSUQs",-11801891.88,4245085.566,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"55","SD-0085",NA,"380,290","3,872,490","7,461","X","58","58","325MDER",-11834558.12,4162241.376,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"56","SD-0110",NA,"394,621","3,872,940","6,616","X","200","200","325MDER",-11817088.28,4163009.341,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"57","BC-0274",NA,"368,413","3,880,650","5,890","","","","",-11849184.47,4172040.074,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
