"","SiteNo","SiteID.NMBGMR","Easting","Northing","AltVa","OSEWellID","HoleDepth","WellDepth","FormationZone.NMBGMR","DecLongVa","DecLatVa","AgencyCd","AgencyNm"
"350","EB-375",NA,"413,797","3,940,385","6,881","RG-51864","520","520","121TSUQa",-11794490.29,4246195.602,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"351","AR-0053",NA,"234,797","4,082,930","5,656","SJ-00986","104","104","",-12019678.3,4418930.138,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"352","AR-0211",NA,"240,125","4,087,869","5,768","SJ-03474","44","44","",-12013222.04,4425324.094,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"353","SD-0203",NA,"383,120","3,884,280","7,075","X","210","210","325MDER",-11831291.91,4176737.821,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"354","NM-26917",NA,"368,964","3,907,493","5,956","RG-67522","","140","",-11848986.92,4205005.917,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"355","WL-0057",NA,"217,911","3,911,650","7,480","X","","270","313SADR",-12033917.13,4205857.96,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"356","EB-121",NA,"405,692","3,955,377","6,570","RG-24584","602","602","121TSUQsf",-11804645.4,4264613.913,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"357","AR-0035",NA,"214,281","4,067,770","5,296","X","","40","",-12044626.92,4399133.606,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"358","SD-0193",NA,"380,465","3,886,090","6,833","X","390","390","325MDER",-11834562.79,4178915.636,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"359","AR-0037",NA,"223,013","4,074,270","5,581","SJ-03110","320","320","",-12034021.7,4407621.032,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"360","SV-0001",NA,"378,157","3,900,443","6,532","RG-67003","170","170","325MDER",-11837617.44,4196499.101,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"361","EB-322",NA,"403,716","3,938,365","6,259","RG-22251 X1","200","200","121TSUQs",-11806851.13,4243575.312,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"362","SD-0298",NA,"387,675","3,892,430","6,991","X","225","225","050QUAL/310ABO",-11825853.41,4186809.212,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"363","BC-0019",NA,"368,412","3,881,650","6,105","RG-92869 POD1","","","",-11849203.36,4173266.056,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"364","EB-203",3.53e+14,"403,394","3,925,540","6,125","RG-19203","114","114","112ANCH",-11807076.55,4227756.489,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"365","BC-0177",NA,"379,090","3,885,550","6,933","S-02662","480","480","",-11836233.21,4178230.874,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"366","PC-071",NA,"368,147","3,907,687","5,938","RG-30170","100","100","211PNLK",-11849990.43,4205229.798,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"367","BC-0223",NA,"375,629","3,890,650","7,052","S-02321","320","320","",-11840545.01,4184431.138,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"368","TO-0439",NA,"395,794","3,884,750","6,450","","","267","112QTBF",-11815822.78,4177503.558,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"369","EB-368",NA,"405,580","3,948,470","6,537","RG-33645","520","520","121TSUQs",-11804692.9,4256076.389,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"370","SV-0145",NA,"380,307","3,901,176","6,265","RG-76855 POD2","400","400","325MDER",-11834999.51,4197435.073,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"371","NM-23281",3.51e+14,"381,189","3,899,306","6,383","RG-65109","175","175","325MDER",-11833890.5,4195151.8,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"372","EB-059",NA,"403,151","3,949,549","6,503","RG-72865","800","800","121TSUQs",-11807694.79,4257377.147,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"373","SV-0116",NA,"379,076","3,899,077","6,539","RG-77620","340","340","325MDER",-11836470.99,4194836.041,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"374","EB-645",NA,"398,694","3,954,689","6,487","RG-29723","700","693","121TSUQs",-11813249.19,4263667.973,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"375","EB-471",NA,"419,661","3,953,575","7,851","RG-53382","650","650","325MDER/400EMBD",-11787430.81,4262556.171,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"376","EB-409",NA,"405,420","3,944,846","6,462","RG-16869","474","457","121TSUQs",-11804842.3,4251598.181,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"377","EB-443",NA,"415,243","3,934,657","6,743","X","","","123ESPN",-11792646.53,4239144.774,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"378","TO-0422",NA,"418,992","3,873,670","6,315","","","150","310YESO",-11787372.24,4164209.027,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"379","SV-0004",NA,"377,722","3,900,313","6,578","RG-75832","310","310","325MDER",-11838147.36,4196332.155,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"380","BC-0284",NA,"377,728","3,886,760","6,670","","","","",-11837916.33,4179692.851,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"381","SD-0217",NA,"389,917","3,885,020","6,612","X","297","297","325MDER",-11823003.45,4177749.692,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"382","SD-0314",NA,"368,731","3,907,440","5,953","X","143","143","211DKOT",-11849271.17,4204936.582,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"383","BC-0328",NA,"378,430","3,885,540","6,813","","","","",-11837039.01,4178207.796,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"384","WL-0058",NA,"215,533","3,907,690","7,534","B-01174 S","235","235","313SADG",-12036671.9,4200903.557,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"385","BC-0133",NA,"382,118","3,890,830","6,972","S-02021","","400","",-11832619.33,4184758.511,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"386","EB-166",NA,"409,205","3,953,067","6,893","RG-29356","730","730","121TSUQs",-11800292.24,4261803.629,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"387","EB-427",NA,"415,793","3,934,420","6,770","RG-43674","315","315","121TSUQa",-11791968.36,4238858.847,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"388","EB-579",NA,"398,379","3,942,119","6,192","RG-55884","240","240","121TSUQs",-11813460.16,4248135.459,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"389","EB-300",3.55e+14,"398,587","3,961,476","5,962","Exempt","2,495","510","121TSUQacuf",-11813476.51,4272059.692,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"390","EB-007",NA,"403,933","3,929,293","6,193","RG-27779","","146","112ANCH/123ESPN",-11806464.75,4232389.148,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"391","EB-285",NA,"407,026","3,954,795","6,701","RG-25637","743","743","121TSUQsf/121TSUQs",-11802995.91,4263911.799,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"392","AR-0066",NA,"235,177","4,083,100","5,666","X","","","",-12019211.02,4419157.88,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"393","WL-0030",NA,"394,907","3,918,062","6,099","RG-26824","840","840","",-11817380.25,4218428.361,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"394","EB-163",3.55e+14,"403,322","3,964,577","6,579","RG-29602","902","902","121TSUQacuf",-11807686.22,4275962.342,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"395","AR-0078",NA,"238,070","4,086,990","5,736","SJ-00318","20","20","",-12015752.57,4424143.473,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"396","EB-614",NA,"407,590","3,973,550","5,847","RG-20228","90","90","121TSUQa",-11802543.21,4287129.534,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"397","EB-135",NA,"401,760","3,938,450","6,208","RG-32554 X","116","116","112ANCHsr",-11809255.22,4243653.881,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"398","BC-0043",NA,"377,155","3,889,940","6,988","S-01042","580","580","",-11838668.75,4183585.308,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"399","PB-0011",NA,"375,629","3,936,512","5,223","RG-88837","80","80","",-11841321.86,4240860.682,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"400","EB-389",NA,"403,458","3,936,959","6,235","Exempt","","121","112ANCH",-11807149.4,4241837.032,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"401","EB-295",3.54e+14,"413,149","3,953,989","7,197","Exempt","1,140","1,100","121TSUQsf",-11795449.95,4262992.114,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"402","BC-0134",NA,"381,717","3,890,810","6,858","S-02246","440","440","",-11833108.99,4184727.55,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"403","EB-038",NA,"417,640","3,942,428","7,276","RG-48163","360","360","400EMBD",-11789791.03,4248762.484,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"404","BC-0058",NA,"377,820","3,886,240","6,669","S-00363","","216","",-11837795.42,4179056.443,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"405","NM-26968",NA,"373,711","3,911,970","5,975","RG-64808","240","240","325MDERU",-11843253.15,4210595.416,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"406","SV-0075",NA,"377,687","3,899,419","6,658","RG-66435","475","475","325MDER",-11838175.37,4195233.224,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"407","EB-137",NA,"409,540","3,954,860","6,941","RG-37164","950","950","121TSUQs",-11799902.5,4264024.29,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"408","BC-0186",NA,"379,305","3,885,270","7,014","S-01183","650","650","",-11835966.11,4177890.922,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"409","SD-0099",NA,"377,850","3,871,790","7,630","X","200","200","325MDER",-11837522.04,4161344.327,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"410","BC-0216",NA,"380,752","3,886,260","6,837","","","","",-11834215.02,4179128.817,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"411","BC-0298",NA,"377,023","3,892,730","6,918","","","","",-11838876.29,4187007.634,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"412","EB-483",3.55e+14,"396,748","3,965,176","5,726","RG-20937","1,410","1,154","121TSUQacuf/121TSUQce",-11815794.74,4276611.684,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"413","BC-0205",NA,"375,904","3,884,840","6,466","","","","",-11840111.93,4177307.254,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"414","EB-464",NA,"413,110","3,942,883","6,883","RG-65116","600","600","121TSUQs",-11795364.44,4249271.103,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"415","SV-0018",NA,"379,441","3,899,104","6,565","RG-94354","400","400","325MDER",-11836025.05,4194875.201,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"416","NM-26903",NA,"370,190","3,907,427","5,965","RG-23679 POD5?","","400","231PFDFU",-11847485.07,4204946.582,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"417","TC-202",NA,"431,099","4,062,420","7,612","RG-36733","550","550","",-11774419.47,4398061.401,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"418","SD-0157",NA,"373,219","3,883,540","6,524","X","250","250","310ABO",-11843368.25,4175667.387,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"419","WL-0149",NA,"427,792","3,936,558","7,281","X","","","",-11777254.13,4241626.131,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"420","BC-0025",NA,"368,290","3,882,280","6,266","RG-36005","","180","",-11849363.41,4174036.337,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"421","PC-116",NA,"367,871","3,907,991","5,881","RG-52191 S","345","345","211PNLK",-11850333.73,4205598.619,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"422","BC-0306",NA,"378,692","3,873,570","7,456","RG-63197","","282","",-11836524.26,4163538.5,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"423","EB-281",NA,"412,707","3,949,457","6,840","X","235","235","121TSUQs",-11795939.11,4257385.802,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"424","EB-640",NA,"394,146","3,934,436","6,089","RG-61187","460","460","112ANCH/123GLST",-11818550.41,4238594.487,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"425","EB-433",NA,"421,689","3,931,477","7,018","RG-54537","600","600","400EMBD",-11784696.14,4235295.313,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"426","SV-0026",NA,"380,673","3,900,754","6,322","RG-69329","125","125","325MDER",-11834544.97,4196922.492,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"427","EB-199",NA,"416,219","3,956,263","6,957","X","","","121TSUQs",-11791698.07,4265840.075,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"428","BC-0131",NA,"378,174","3,876,170","7,306","RG-66386","360","360","",-11837198.39,4166715.649,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"429","SV-0128",NA,"378,935","3,899,861","6,566","RG-63508","325","325","325MDER",-11836656.28,4195796.893,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"430","TO-0400",NA,"397,757","3,875,740","6,372","","","100","325MDER",-11813301.99,4166483.919,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"431","BC-0015",NA,"366,258","3,880,280","5,844","","","","",-11851807.82,4171547.952,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"432","SV-0103",NA,"380,634","3,901,146","6,338","RG-62940","350","350","325MDER",-11834599.01,4197403.528,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"433","SD-0180",NA,"379,418","3,886,530","6,678","X","131","131","325MDER",-11835848.57,4179438.427,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"434","SD-0183",NA,"377,788","3,887,000","6,682","X","162","162","210MNCS",-11837846.99,4179988.284,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"435","SV-0035",NA,"377,615","3,900,805","6,545","RG-83981","285","285","310ABO",-11838286.39,4196934.881,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"436","EB-266",3.55e+14,"395,137","3,966,202","5,481","Exempt","170","169","121CHMTv",-11817794.76,4277858.091,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"437","SD-0167",NA,"374,006","3,880,830","6,460","X","119","119","325MDER",-11842361.58,4172357.865,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"438","WL-0143",NA,"368,950","3,907,868","5,874","RG-94948","320","315","",-11849010.73,4205466.754,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"439","EB-126",NA,"404,553","3,940,939","6,346","RG-19471","300","300","121TSUQs",-11805856.73,4246763.145,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"440","SD-0119",NA,"365,933","3,881,260","5,972","X","98","98","110ALVM",-11852222.07,4172743.497,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"441","TO-0403",NA,"402,885","3,873,870","6,236","","","475","112QTBF",-11807021.6,4164261.221,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"442","EB-140",NA,"413,407","3,949,860","6,887","exempt","282","282","121TSUQs",-11795082.88,4257892.205,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"443","AR-0212",NA,"237,835","4,085,662","5,743","SJ-03925","43","43","",-12015994.68,4422470.419,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"444","BC-0152",NA,"379,374","3,891,380","6,676","S-00063","125","125","",-11835981.12,4185389.268,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"445","EB-283",NA,"413,084","3,949,010","6,890","X","520","520","121TSUQs",-11795469.99,4256838.088,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"446","EB-456",NA,"417,013","3,928,881","6,669","X","","","112ANCH/231CHNL",-11790407.03,4232042.6,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"447","EB-619",NA,"412,432","3,955,075","7,099","RG-74919","600","600","121TSUQs",-11796345.57,4264325.973,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"448","SD-0269",NA,"386,146","3,892,580","6,966","X","100","100","050QUAL/310ABO",-11827724.37,4186969.922,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"449","SD-0226",NA,"393,996","3,882,370","6,476","X","206","206","050QUAL/325MDER",-11817984.52,4174558.952,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"450","WL-0080",NA,"432,576","3,934,540","7,338","UP-04657 POD2","900","880","310SGRC",-11771358.79,4239182.621,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"451","TO-0467",NA,"410,020","3,881,490","6,210","","","101","112QTBF",-11798410.48,4173691.644,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"452","SV-0025",NA,"380,761","3,899,884","6,382","RG-72068","100","100","325MDER",-11834423.28,4195854.985,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"453","EB-073",NA,"417,565","3,953,580","7,424","X","","","325MDER",-11790010.38,4262538.591,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"454","EB-371",NA,"416,257","3,954,800","7,223","RG-77686","980","980","121TSUQs/400EMBD",-11791634.28,4264031.649,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"455","BC-0138",NA,"357,980","3,896,090","5,369","RG-60932","","651","",-11862211.97,4190790.683,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"456","AR-0074",NA,"238,641","4,087,350","5,743","SJ-03124","20","20","",-12015053.94,4424616.631,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"457","BC-0245",NA,"374,266","3,887,900","6,933","","","","",-11842163.76,4181033.447,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"458","EB-001",NA,"398,529","3,935,208","6,068","RG-39419","223","221","112ANCH/123GLST",-11813179.21,4239609.465,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"459","PP-054",NA,"433,717","4,002,009","7,560","RG-48753","122","122","122TSUQdx/123PICSu",-11770581.8,4322737.954,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"460","BC-0041",NA,"378,414","3,890,630","6,826","S-01225","260","260","",-11837141.89,4184452.974,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"461","EB-388",NA,"403,442","3,937,136","6,215","Exempt","","91","112ANCH",-11807171.4,4242055.2,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"462","AR-0112",NA,"243,470","4,091,200","5,839","X","","","",-12009173.41,4429627.106,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"463","EB-390",NA,"404,686","3,933,111","6,303","RG-50386","500","500","112ANCH",-11805590.59,4237106.694,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"464","SD-0097",NA,"379,245","3,871,480","7,533","X","315","315","325MDER",-11835816.1,4160987.389,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"465","EB-230",3.54e+14,"415,704","3,941,123","7,021","RG-19654","500","500","400EMBD",-11792155.46,4247129.082,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"466","EB-240",3.54e+14,"406,983","3,946,736","6,592","RG-24041","600","600","121TSUQs",-11802945.02,4253952.707,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"467","NM-01326",3.52e+14,"370,676","3,909,988","5,814","RG-67194","185","185","",-11846935.19,4208104.48,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"468","BC-0101",NA,"377,242","3,892,250","6,853","S-00131 POD2","280","280","",-11838600.69,4186422.041,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"469","TC-216",NA,"423,767","4,073,057","7,727","RG-85494","540","540","",-11783674.83,4411304.772,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"470","EB-034",NA,"419,740","3,936,689","7,229","RG-44619","400","400","400EMBD",-11787146.34,4241702.9,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"471","EB-351",NA,"412,716","3,940,083","6,793","X","230","230","121TSUQ",-11795815.02,4245809.862,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"472","BC-0325",NA,"378,869","3,885,710","6,849","","","360","",-11836505.69,4178423.529,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"473","AR-0114",NA,"243,169","4,091,580","5,859","SJ-03778","60","60","",-12009563.55,4430092.142,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"474","SD-0098",NA,"377,428","3,871,830","7,539","X","210","210","325MDER",-11838037.24,4161386.385,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"475","EB-092",NA,"409,900","3,955,470","6,879","RG-51363","920","920","121TSUQsf",-11799467.03,4264782.978,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"476","TC-232",NA,"433,672","4,095,908","7,591","X","350","350","",-11771538.7,4440082.557,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"477","SV-0082",NA,"377,394","3,898,813","6,941","RG-75532","600","600","325MDER",-11838523.66,4194483.89,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"478","PC-093",NA,"364,280","3,911,061","5,327","RG-49802 S2","700","700","112SNTFA",-11854786.08,4209308.411,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"479","EB-336",3.54e+14,"403,199","3,944,575","6,358","Exempt","2,000","1,900","121TSUQs",-11807569.18,4251234.05,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"480","AR-0020",NA,"229,016","4,079,450","5,621","SJ-01310","80","67","",-12026749.21,4414344.745,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"481","SD-0302",NA,"395,267","3,892,460","6,626","X","180","180","050QUAL",-11816575.12,4186957.726,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"482","SD-0265",NA,"379,445","3,891,790","6,702","X","150","150","231CHNL",-11835901.02,4185893.695,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"483","EB-260",3.55e+14,"394,928","3,966,358","5,467","Exempt","304","300","121CHMTv",-11818054.6,4278048.111,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"484","SD-0277",NA,"380,802","3,890,140","6,785","X","340","340","231CHNL",-11834216.24,4183890.517,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"485","EB-419",NA,"412,511","3,932,877","6,550","RG-47393","300","300","121TSUQae",-11795980.16,4236916.822,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"486","SD-0116",NA,"366,125","3,885,010","6,416","X","41","41","110ALVM",-11852055.19,4177345.388,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"487","SD-0240",NA,"376,777","3,892,610","6,974","X","240","240","300YESO",-11839174.93,4186856.216,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"488","EB-468",NA,"401,326","3,927,799","6,203","RG-29082","505","500","120IRSV",-11809643.98,4230512.632,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"489","EB-342",NA,"403,560","3,924,863","6,067","RG-46244","60","60","112ANCH",-11806863.97,4226924.506,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"490","TC-212",NA,"428,405","4,078,218","7,715","RG-45204","422","422","",-11777941.94,4417824.497,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"491","SD-0190",NA,"379,517","3,885,850","6,904","X","","","325MDER",-11835716.63,4178605.845,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"492","EB-332",NA,"399,720","3,935,678","6,089","RG-74595","160","160","112ANCH",-11811723.1,4240205.834,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"493","PB-0004",NA,"378,459","3,937,592","5,216","X","","","",-11837864.49,4242241.094,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"494","BC-0178",NA,"379,113","3,885,430","6,952","S-01596","","475","",-11836203.17,4178084.051,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"495","BC-0239",NA,"379,331","3,885,660","6,859","S-02382","460","460","",-11835940.69,4178369.742,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"496","BC-0098",3.51e+14,"376,810","3,891,430","6,877","S-02614","180","180","231CHNL",-11839114.99,4185408.296,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"497","EB-641",NA,"394,978","3,956,163","6,637","RG-14073","1,100","1,090","121TSUQs",-11817844.02,4265436.821,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"498","SD-0160",NA,"373,424","3,883,310","6,404","X","117","117","310ABO",-11843114.06,4175388.834,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"499","EB-075",NA,"417,230","3,954,370","7,252","RG-38475 X","560","560","123ESPN",-11790431.73,4263511.336,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"500","SD-0106",NA,"386,652","3,875,350","6,935","X","428","428","325MDER",-11826843.42,4165844.956,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"501","EB-406",NA,"405,045","3,941,905","6,385","RG-32178","595","595","121TSUQs",-11805264.78,4247962.07,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"502","LC-029",NA,"400,290","3,935,932","6,139","X","","","112ANCH",-11811026.56,4240527.046,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"503","SD-0281",NA,"381,543","3,889,770","6,793","X","250","250","310ABO",-11833304.99,4183448.347,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"504","EB-039",NA,"417,724","3,942,955","7,328","RG-49162","400","400","400EMBD",-11789693.76,4249414.103,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"505","EB-691",NA,"400,249","3,937,717","6,113","RG-92758","180","180","112ANCH/120IRSV",-11811101.42,4242728.722,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"506","SD-0243",NA,"375,725","3,891,700","7,118","X","320","320","300YESO",-11840445.31,4185721.521,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"507","BC-0151",NA,"379,387","3,891,400","6,673","S-00063 POD2","290","290","",-11835965.56,4185414.03,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"508","EB-205",3.53e+14,"402,747","3,931,093","6,222","X","96","96","112ANCH",-11807944.3,4234592.495,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"509","PC-058",NA,"373,688","3,911,755","6,041","RG-67542","300","300","325MDERU",-11843277.63,4210330.533,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"510","BC-0107",NA,"385,221","3,873,340","7,158","E-09352","780","780","",-11828558.13,4163360.316,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"511","PC-014",NA,"369,635","3,909,218","5,746","RG-62652","420","420","210HOSTD",-11848196.13,4207139.049,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"512","EB-469",NA,"415,956","3,943,472","7,107","RG-81214","600","600","400EMBD",-11791873,4250032.067,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"513","EB-080",NA,"415,431","3,954,452","7,196","RG-49683","600","600","121TSUQsf",-11792646.88,4263591.735,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
