PointID,SiteID,Easting,Northing,Altitude,OSEWellID,HoleDepth,WellDepth,FormationZone,ObjectID,x,y
TB-0221,,420027,3719517,5624.77,X,,,180TKSCC_Upper,30,-105.8620991,33.61243177
MI-0169,,591544,3927645,4355.72,,,50,231CHNL,31,-103.9907929,35.48813508
QY-0051,,609299,3880520,4240,,92,92,231CHNL,32,-103.8013663,35.06150547
SO-0095,,345681,3785430,5723.71,,,29,110ALVM/310MBLC,33,-106.6748894,34.19847316
BW-0127,,414165,3697070,5835,,,56,110ALVM,34,-105.9231307,33.40953788
ED-0258,,603277,3587420,3120,,,,312RSLR,35,-103.9016176,32.41908678
EB-674,,415491,3938137,6917.6,RG-71979,475,475,121TSUQa/400EMBD,36,-105.9327739,35.58334872
QY-0697,,600855,3841420,4760,,154,154,121OGLL,37,-103.8986667,34.70986211
TO-0109,,405206,3824050,6103.18,,,130,112QTBF,38,-106.033232,34.55382536
QY-0132,,673281,3881080,3920,,21,21,110ALVM,39,-103.099861,35.05759219
SD-0153,,374600,3883970,6444.66,X,170,170,310ABO,40,-106.3757067,35.090733
QY-0965,,624713,3873900,4170,,39,39,110ALVM,41,-103.6333605,35.00003938
ED-0172,,553574,3582960,3750,,,75,313CLBD,42,-104.4304485,32.38235351
QU-107,,449055,4067153,8157.97,RG-67791,485,485,,43,-105.5707047,36.74875788
TB-0164,,434450,3711131,6699.38,X,240,240,050QUAL,44,-105.706018,33.53778547
QY-0053,,609031,3879010,4280,,100,100,110AVMB/231CHNL,45,-103.8045032,35.04792123
SO-0271,,328651,3763918,4569.14,X,5,5,,46,-106.8554027,34.00190135
SM-0062,,445953,3650499,7647.8,PN-00689,80,80,300YESO,47,-105.5785141,32.99155762
QU-085,,443803,4062530,7547,X,460,400,,48,-105.6291954,36.70678808
MG-013,,295273,3772038,7186.33,RG-37124,200,200,,49,-107.2185117,34.06909919
BC-0030,,381074,3889970,6748,S-01679,,127,,50,-106.3055634,35.14560746
QY-0015,,598890,3882630,4390,,74,74,110AVMB/221MRSN,51,-103.9152472,35.08160287
PC-039,,372083,3908416,6032,X,31,31,318ABO,52,-106.4071083,35.31078322
MI-0120,,590591,3922842,4797.07,,,145,231CHNL,53,-104.0018329,35.44492164
ED-0302,,589766,3574820,2980,,,40,110ALVM,54,-104.0464877,32.30660496
EB-463,,418467,3960683,7270.38,RG-39113,816,816,121TSUQa,55,-105.9022159,35.78685739
QY-0263,,611527,3895020,4010,,48,48,220ENRD,56,-103.7749814,35.19198185
MI-0282,,518518,3957748,6326.24,,,200,211DKOT/217PRGR,57,-104.7951552,35.76360493
TV-170,,440310,4026257,6670.85,RG-73668,2527,2527,122OJOC,58,-105.6654923,36.37959155
MI-0093,,475669,3917159,6020.13,,,48,260SNAN,59,-105.2679479,35.39750842
AR-0077,,238501,4087240,5739.94,X,,,,60,-107.9345973,36.89494366
ED-0173,,557707,3581190,3550,,,330,313CLBD,61,-104.3866193,32.36618061
TB-0220,,420020,3719507,5624.02,X,,,180TKSCC_Upper,62,-105.8621736,33.61234106
ED-0125,,571395,3589660,3122,,,,,63,-104.2404946,32.44179219
ED-0072,,566166,3600560,3190,,,125,313CLBD,64,-104.295352,32.54043802
HS-114,,290016,3667630,4237.49,HS-01101,240,240,,65,-107.2508493,33.1270857
SO-0230,,322377,3733198,4488.19,X,86,86,,66,-106.9171047,33.72394671
BW-0674,,398177,3815320,6822.76,,,210,310YESO,67,-106.1087902,34.47443926
QU-112,,445646,4060585,7370.14,RG-32789,140,140,,68,-105.6084239,36.68936237
EB-066,,416340,3954065,7346.98,RG-53477,725,725,121TSUQsf,69,-105.9250587,35.72701636
DA-0135,,323116,3547760,4212,,,440,112SNTF,70,-106.8735991,32.05223373
AR-0216,,232186,4079990,5628.937,SJ-04060,36,36,,71,-108.0028208,36.82790682
AR-0085,,240596,4088880,5781.267,X,23,,,72,-107.9116759,36.91028657
DA-0035,,322081,3595600,4025,,,,112SNTF,73,-106.8934964,32.48342125
JM-022,,295159,3644428,5691.77,LRG-06248,500,500,,74,-107.1905751,32.918933
SD-0227,,395511,3881430,6451.27,X,148,148,050QUAL,75,-106.1460277,35.07021923
AR-0208,,235162,4083104,5665.29,X,28,28,,76,-107.970579,36.85677843
JM-040,,310109,3650189,4694.86,LRG-06882,150,150,,77,-107.0319787,32.97356638
WL-0050,,441766,4050137,7334.43,X,,,112QTBF,78,-105.6510593,36.59495018
QY-0332,,641180,3890310,4030,,54,54,231CHNL,79,-103.4501696,35.14579436
BC-0265,,352614,3894870,4999.17,RG-07569,,42,,80,-106.6187685,35.18600573
TO-0001,,376061,3792930,6172.53,,,170,310YESO,81,-106.3463301,34.27015219
QY-0903,,636078,3862300,4402,,122,122,231CHNL,82,-103.5107471,34.89400582
AR-0097,,237753,4085610,5735.138,X,,,,83,-107.9424177,36.88006174
QU-019,,445538,4067612,7597.27,RG-40247,120,120,,84,-105.6101335,36.75269998
CX-0165,,516820,4021960,6260,,,17,211PIRR,85,-104.8125716,36.34255911
EB-156,,400727,3949653,6439.04,exempt,350,350,121TSUQs,86,-106.0971241,35.68579251
HS-039,,286947,3666273,4232.57,X,,27,,87,-107.283407,33.11425653
TO-0093,,403431,3826150,6120,,,242,112QTBF,88,-106.0528147,34.5725949
SD-0273,,382210,3889610,6766.38,X,65,65,110ALVM,89,-106.2930441,35.1424958
TO-0095,,401638,3826550,6152.26,,,,112QTBF,90,-106.0724055,34.57603134
UC-0089,3.63747E+14,627202,4054739,5762,CT-00876,250,250,211DKOT,91,-103.5773009,36.62972011
BC-0075,,375096,3888700,6906,S-01058 X,170,170,,92,-106.3709808,35.13343409
DA-0130,,289963,3548030,4540,,,685,,93,-107.2246121,32.04899276
JM-024,,295184,3643233,5582.81,LRG-06247,535,535,,94,-107.1900425,32.90816608
ED-0128,,575225,3594870,3220,,,,110ALVM,95,-104.1993378,32.4885355
BW-0146,,412466,3692300,5415,,,44,110ALVM,96,-105.9409371,33.36638189
TO-0477,,469061,3879010,6066.04,,,185,231DCKM,97,-105.3392807,35.05333756
TO-0352,,400354,3864080,6270,,,102,112QTBF,98,-106.0908417,34.91428513
BW-0829,,193456,3748740,6813.04,,,290,112ANCH,99,-108.3123413,33.83447938
QY-0461,,671286,3925770,3800,,151,151,110AVMB/231SNRS,100,-103.1124081,35.46068686
WL-0015,,507211,3961445,6371,CR-05150,245,245,210MNCS/120IRSV,101,-104.9202049,35.79708605
MI-0262,,565615,3951174,4697.83,,,35,231CHNL,102,-104.2747086,35.70232064
QY-0511,,669080,3941080,4200,,120,120,121OGLL,103,-103.1335134,35.59903612
BW-0661,,472478,3892630,6045.53,,,4295,320PENN,104,-105.3022643,35.1762501
ED-0126,,581127,3597490,3180,,,30,312RSLR,105,-104.1362988,32.5117528
SD-0325,,369853,3908860,5820.8,X,100,100,110ALVM,106,-106.4317023,35.31449762
EB-307,3.53406E+14,398488,3936666,5967.91,RG-23683,163,125,120IRSV/121TSUQe,107,-106.1202296,35.5684896
CX-0068,,573840,4029650,6170,,,17,211DKOT,108,-104.1764599,36.40919461
MI-0153,,531698,3929609,5400.57,,,70,231SNRS,109,-104.6504605,35.50955793
EB-078,,413940,3957720,6934.82,RG-33783,378,378,121TSUQs,110,-105.951985,35.75975957
AR-0095,,238427,4086390,5755.971,X,,,,111,-107.9351335,36.88727082
ED-0317,,584072,3571190,3101,,,,110ALVM,112,-104.1072855,32.27430364
AR-0082,,237843,4086310,5737.03,X,,,,113,-107.9416511,36.88638862
BW-0707,,488545,3845330,5646.02,,,122,313SADR,114,-105.1251622,34.75003528
QY-0418,,672829,3904090,3950,,285,285,231SNRS,115,-103.0999971,35.26504142
EB-317,,404232,3938253,6253.68,RG-22251 X6,200,200,121TSUQs,116,-106.0570405,35.58336879
SD-0078,,377832,3875950,7247.56,X,120,120,325MDER,117,-106.3390779,35.01883065
QY-0273,,619251,3892710,4020,,235,235,231CHNL,118,-103.6904931,35.17026979
BW-0255,,403202,3656230,4395,,,,110ALVM,119,-106.0366634,33.04028642
CX-0094,,532440,4012570,6020,,,67,110ALVM,120,-104.6388988,36.25750556
QY-0074,,626654,3880380,4140,,146,146,231CHNL,121,-103.6111078,35.05821363
ED-0265,,603628,3586640,3155,,,,312RSLR,122,-103.8979707,32.41201893
SD-0247,,376043,3891060,7027.55,X,105,105,231CHNL,123,-106.3609431,35.15482586
EM-0006,,194430,3882740,7201.17,X,10,10,,124,-108.3496854,35.04116913
EB-134,,401980,3938280,6188.53,RG-32553,137,137,112ANCHsr,125,-106.0818961,35.58339166
BW-0063,,368641,3551770,4068,,,960,110ALVM,126,-106.3920805,32.09461034
QY-0727,,623417,3843740,4690,,108,108,121OGLL,127,-103.6520036,34.728302
SM-0047,,445638,3650483,7705.42,PN-00591,235,235,300YESO,128,-105.5818846,32.99139763
QY-0078,,626311,3878840,4140,,100,100,231CHNL,129,-103.6151026,35.04437396
TV-227,,439398,4025086,6722.38,RG-83209,185,185,112LAMAb,130,-105.6755682,36.3689782
AR-0017,,230984,4078740,5571.02,SJ-01722 POD2,17,17,,131,-108.0158391,36.81631309
BW-0687,,491062,3774140,5355.25,,,640,310YESO,132,-105.0969187,34.10804934
BW-0459,,385187,3560660,4070.5,,,1209,110ALVM,133,-106.2178365,32.17659992
QY-0940,,596911,3873120,4350,,44,44,110AVMB,134,-103.9380623,34.99605455
EB-150,,412592,3950813,7022.86,exempt,380,377,121TSUQs,135,-105.9661421,35.69737357
QY-0532,,665414,3950960,4360,,109,109,121OGLL,136,-103.1719366,35.68869345
QU-084,,443260,4061278,7347.75,?,256,249,,137,-105.6351816,36.69546985
TO-0020,,400137,3806430,6484.18,,,600,310YESO,138,-106.0864127,34.39447295
EB-395,,404140,3929549,6196.09,X,208,208,123ESPN,139,-106.0570255,35.50489253
BW-0165,,403896,3667340,4535,,,,110ALVM,140,-106.0304003,33.14054667
WL-0130,,324918,3770599,4608.45,?,,90,110ALVM,141,-106.8971454,34.06150714
QY-0341,,652175,3892010,4117.31,,26,26,231CHNL,142,-103.3291998,35.15951342
WL-0099,,617490,3609360,3577,CP-0075,,,313CPTN,143,-103.7477445,32.61555358
BC-0113,,373773,3882660,6320,,,,,144,-106.3845773,35.07882051
ED-0091,,556610,3595030,3360,,,1400,313CLBD,145,-104.3974495,32.49108331
SA-0206,,241056,3742445,7445.06,X,850,800,123SPRSmid_uppe,146,-107.7967428,33.79051512
TO-0291,,396476,3853340,6320,,,400,112QTBF,147,-106.1319595,34.81706618
BC-0100,,373911,3885290,6726,S-00740,260,260,,148,-106.3834644,35.10254637
MI-0057,,474860,3915699,6016.15,,,65,260SNAN,149,-105.2768117,35.38432387
TO-0091,,403195,3826400,6130,,,216,112QTBF,150,-106.0554157,34.57482682
WL-0088,,204694,3627710,5823.12,X,,,110ALVM/121GILA,151,-108.1516022,32.74767281
BW-0007,,357931,3595700,5437.3,,,189,410PRCG,152,-106.51211,32.48948455
QY-0708,,605768,3840110,4730,,76,76,121OGLL,153,-103.84519,34.69755438
TO-0377,,417528,3859160,6185,,,180,310GLOR,154,-105.9023743,34.87146617
EB-109,,407319,3948593,6686.44,RG-50036,590,590,121TSUQs,155,-106.0241613,35.67687846
WL-0180,,434069,3938579,7331,X,,,,156,-105.727773,35.58874612
QY-0572,,607316,3835790,4670,,105,105,121OGLL,157,-103.8288399,34.6584438
QY-0710,,616322,3847040,4800,,69,69,121OGLL,158,-103.7290248,34.75888632
TO-0410,,403564,3870120,6215.51,,,198,112QTBF,159,-106.0564052,34.96905206
QU-157,,442873,4050352,7483.88,X,85,85,,160,-105.6386998,36.59695526
SM-0137,,484187,3620310,5436.92,RA-09265,800,800,260SNAN,161,-105.1687547,32.7204618
QY-0283,,621661,3889930,4060,,165,165,231CHNL,162,-103.6644445,35.14491983
QY-0140,,586766,3889130,4268,,71,71,110AVMB,163,-104.0475409,35.1413237
QY-0807,,634443,3856960,4750,,175,175,121OGLL,164,-103.529493,34.84608545
BW-0475,,354610,3696450,5150,,,97,310ABO,165,-106.5633557,33.39753044
QY-0210,,608723,3892090,4160,,139,139,220ENRD,166,-103.8061612,35.16587489
QY-0515,,672909,3941750,4110,,37,37,121OGLL,167,-103.0911219,35.60441187
QY-0495,,650798,3940400,4380,,140,140,121OGLL,168,-103.3353769,35.59586405
QY-0900,,634001,3865360,4302.45,,24,24,231CHNL,169,-103.5329808,34.92186688
TV-123,,439328,4024683,6751.27,RG-83208,220,220,112LAMAb,170,-105.6763171,36.36534084
HS-108,,289594,3668555,4312.3,X,,,,171,-107.255583,33.13534111
ED-0335,,584093,3565140,3058,,,265,312RSLR,172,-104.1075964,32.21972886
QY-1010,,666985,3870410,4279.21,,16,16,231CHNL,173,-103.1710118,34.96248714
QU-161,,446198,4063214,7621.65,X,,,,174,-105.6024303,36.7130926
ED-0259,,603705,3587060,3100,,,,312RSLR,175,-103.8971059,32.41579998
QY-0679,,596703,3843690,4810,,142,142,121OGLL,176,-103.9437396,34.73073052
QY-0545,,671231,3948340,4310,,164,164,121OGLL,177,-103.1082383,35.66409011
BW-0704,,228668,3907970,6634.04,,,500,313SADR,178,-107.9831365,35.2781446
QY-0776,,616883,3852690,4860,,90,90,121OGLL,179,-103.7221109,34.80975985
BW-0291,,404995,3647500,4350,,,,110ALVM,180,-106.0165606,32.96170903
SD-0221,,391031,3883780,6552.33,X,300,300,325MDER,181,-106.1954634,35.09093112
QY-0913,,640340,3863400,4740,,237,237,121OGLL,182,-103.463933,34.90334125
SO-0040,,363926,3802570,5995,,,,310ABO,183,-106.4796372,34.35554238
DA-0111,,323516,3567420,4210,,,,,184,-106.8729853,32.22956631
CX-0069,,574083,4025020,6160,,,,121OGLL ,185,-104.1741914,36.36743912
DA-0172,,296714,3523060,4170,,,,,186,-107.1479089,31.82510946
QY-0075,,625031,3880750,4160,,135,135,231CHNL,187,-103.6288455,35.06175155
SD-0074,,363573,3870460,5681.22,X,21,21,110ALVM,188,-106.4944242,34.9675169
TO-0306,,398735,3850790,6230,,,80,112QTBF,189,-106.1069558,34.79430253
BC-0130,,384155,3873160,7263,E-08248 S5,385,385,,190,-106.2693991,34.99442305
BC-0329,,378704,3885770,6841,,,,,191,-106.3309586,35.10746215
WL-0097,,617507,3609300,3558,CP-0073,,,313CPTN,192,-103.7475709,32.61501065
MI-0152,,535690,3934362,6268.31,,,250,211DKOT/217PRGR/221MRSN,193,-104.6062304,35.55227748
SO-0068,,304659,3806600,5991.82,,,268,325MDERL,194,-107.1246747,34.38237916
SV-0022,,380813,3899488,6416.13,RG-71097 POD1,140,140,325MDER,195,-106.3098044,35.23137944
EB-212,3.52833E+14,405848,3926044,6223.46,RG-34646,525,410,123ESPN,196,-106.0377884,35.47345769
QY-0599,,600995,3833620,4700,,96,96,121OGLL,197,-103.8980701,34.63952151
AH-018,,444341,4042415,7385.74,RG-62489,570,570,,198,-105.6217147,36.52549348
BW-0337,,388613,3631940,4005,,,10,110ALVM,199,-106.1899396,32.81983055
BC-0071,,377834,3890630,6972,S-02546,,,,200,-106.3412208,35.15116878
SD-0127,,376320,3887890,7072.58,X,500,500,211MVRD,201,-106.3574281,35.12628339
WL-0175,,570820,3666043,3426,RA-05394,53,53,,202,-104.2407806,33.13079591
SD-0293,,383925,3888990,6914.23,X,310,310,325MDER,203,-106.2741348,35.13710591
TO-0404,,398060,3872510,6340,,,125,112QTBF,204,-106.1169808,34.99006031
EB-668,,414482,3943745,6992.78,RG-10316 CLW,400,400,121TSUQs,205,-105.9445034,35.63381986
SD-0237,,375778,3892230,7038.3,X,70,70,300YESO,206,-106.3640279,35.16534027
SA-0191,,241126,3760960,6898.04,X,,,112QTBF,207,-107.8014358,33.95732119
SD-0292,,383988,3889220,6883.12,X,97,97,325MDER,208,-106.2734757,35.13918663
TB-0249,,428989,3722660,5835.09,T-00255 S,145,145,180TKSCC_Upper,209,-105.7657496,33.64141296
EB-611,,405227,3949987,6574.6,RG-82308,2016,2000,121TSUQsf,210,-106.0474394,35.6892464
EB-661,,407765,3939546,6482.5,RG-86221,1800,620,121TSUQs,211,-106.0181985,35.59536101
SD-0085,,380290,3872490,7460.92,X,58,58,325MDER,212,-106.3116444,34.98793277
ED-0192,,569047,3585210,3175,,,,110ALVM,213,-104.2657965,32.40179924
ED-0129,,572155,3591570,3136,,,320,313CLBD,214,-104.2322641,32.45897206
SD-0110,,394621,3872940,6616.3,X,200,200,325MDER,215,-106.1547101,34.99358453
BC-0274,,368413,3880650,5890,,,,,216,-106.4430352,35.06001601
BW-0743,,601259,3587040,3144.9,,,,312RSLR,217,-103.9231172,32.41584458
SD-0151,,376611,3885560,6595.42,X,156,156,210MNCS,218,-106.3538875,35.10531476
BC-0153,,378936,3890940,6738,S-02609,283,283,,219,-106.3291708,35.15409667
BW-0199,,402207,3659680,4415,,,200,110ALVM,220,-106.0476863,33.07131224
EB-291,,409347,3956949,6814,RG-28064 X2,727,725,121TSUQsf,221,-106.0026977,35.75239626
EB-417,,415225,3934102,6739.73,RG-48785,320,320,121TSUQa,222,-105.9352867,35.54694885
QY-0638,,613830,3837130,4700,,250,250,121OGLL,223,-103.7575848,34.66982149
TV-144,,443847,4028625,6911.27,X,1500,,112LAMA,224,-105.6262318,36.40115181
QY-0335,,654898,3896370,4200,,84,84,231CHNL,225,-103.2984952,35.19839498
AR-0214,,214258,4072999,5555.35,SJ-04019,370,370,,226,-108.2009371,36.75973945
QY-0119,,661010,3883700,3960,,104,104,231CHNL,227,-103.2338534,35.0832393
ED-0016,,541516,3634040,3710,,,275,110ALVM,228,-104.5563707,32.84364316
SD-0200,,384994,3883800,6826.33,X,325,325,325MDER,229,-106.2616817,35.09044044
BC-0331,,378041,3893250,6808,S-02873,,570,,230,-106.339336,35.1748125
UC-0138,3.5415E+14,675340,3952168,4318.22,X,217,217,121OGLL,231,-103.0620305,35.69786358
BW-0267,,404830,3656210,4410,,,235,110ALVM,232,-106.0192288,33.04024968
CX-0067,,572297,4029900,6225,,,59,211DKOT,233,-104.1936444,36.41156565
QY-0491,,675950,3936340,4020,,131,131,121OGLL,234,-103.058744,35.55512388
BW-0474,,393021,3541600,4095.3,,,300,110ALVM,235,-106.1326322,32.00545301
QY-0966,,627358,3872280,4150,,89,89,231CHNL,236,-103.6046311,34.98510571
PB-0017,,378905,3936877,5241,X,,,,237,-106.3363181,35.56819005
WL-0081,,164214,3536210,4407,PL-01016,,,,238,-108.5505916,31.91222304
QY-0470,,655540,3933450,4200,,82,82,,239,-103.2843874,35.53249257
EB-189,,417201,3959125,7107.6,RG-40345,530,530,121TSUQa,240,-105.9160621,35.77270591
SV-0063,,377935,3901220,6512.45,RG-71929,325,325,325MDER,241,-106.3416814,35.2466464
BW-0333,,410721,3638490,4365,,,270,110ALVM,242,-105.9544274,32.88092926
BW-0169,,398381,3666010,4305,,,250,110ALVM,243,-106.0893728,33.12804892
ED-0261,,602156,3587470,3150,,,,312RSLR,244,-103.9135326,32.41964112
WL-0148,,414236,3917349,6036,RG-81683,100,100,,245,-105.9444286,35.39582691
EB-105,,403911,3950729,6580.13,RG-71748,854,854,121TSUQs/121TSUQsf,246,-106.0620702,35.69580801
TO-0269,,387500,3851360,6575,,,245,325MDER,247,-106.2298202,34.79826266
QY-0172,,616724,3896670,4040,,111,111,110AVMB,248,-103.7176754,35.20626556
QY-0702,,599371,3840800,4730,,80,80,121OGLL,249,-103.9149425,34.70441742
SO-0018,,331492,3810380,4737.57,,,40,110ALVM,250,-106.8337058,34.42116991
BW-0293,,408274,3648690,4500,,,426,110ALVM,251,-105.9815986,32.97272234
TB-0213,,427765,3731785,5882.59,X,80,80,112QTBF,252,-105.7796901,33.72362479
QY-0842,,642121,3858610,4690,,176,176,121OGLL,253,-103.4452591,34.85991491
DA-0086,,334556,3576880,4040,,,632,112SNTF,254,-106.757514,32.31655057
CX-0022,,577064,4058360,6995,,,135,211CRLL,255,-104.1376364,36.66773638
AR-0209,,233169,4081107,5642.323,X,19,19,110ALVM,256,-107.9922048,36.8382402
SO-0137,,326642,3763759,4570.9,X,47,20,,257,-106.8771148,34.00013813
EB-602,,409847,3948341,6822.51,RG-52310,395,395,121TSUQs,258,-105.9962018,35.67484104
BW-0298,,412337,3648660,4740,,,,110ALVM,259,-105.9381215,32.9727859
CX-0123,,537520,4047070,6025.14,,,18,,260,-104.5806828,36.56834179
ED-0344,,553073,3557610,3625,,,10,110ALVM,261,-104.4371879,32.15369523
TO-0348,,401419,3866480,6240,,,112,112QTBF,262,-106.0794683,34.9360275
TO-0188,,406222,3833220,6089.21,,,,112QTBF,263,-106.0231729,34.63660082
UC-0081,,619546,4092734,5341.49,X,38,38,231SNRS,264,-103.6569416,36.9731326
BW-0343,,409297,3636700,4270,,,,110ALVM,265,-105.9694727,32.86466769
QY-0311,,636760,3893000,3980,,165,165,231CHNL,266,-103.4982305,35.17065313
EB-489,,401300,3956280,6250,RG-20516 S12,1930,1920,121TSUQacu/121TSUQsf,267,-106.0916071,35.74559068
TV-226,,443896,4025205,6831.95,RG-57735 S,103,103,112LAMA,268,-105.6254384,36.37032397
UC-0074,3.64438E+14,606961,4067129,6483.67,CT-00001,125,125,210CRCS,269,-103.801909,36.7438785
QY-0261,,610716,3895420,4020,,73,73,220ENRD,270,-103.783834,35.19567767
QY-0692,,605780,3843000,4770,,257,257,121OGLL,271,-103.8446967,34.72360948
TO-0478,,406713,3892370,6307.78,,,440,112QTBF,272,-106.0244187,35.16995093
MI-0083,,459054,3917896,6222.87,,,160,321SGDC,273,-105.4509488,35.40360925
SM-0008,,438012,3638892,7716.34,PN-00141,250,250,300YESO,274,-105.6627264,32.88644134
SA-0231,3.40711E+14,276299,3778098,7307.1,RG-78087,250,250,000IRSV ,275,-107.4255246,34.11982151
QY-0249,,609984,3888980,4110,,134,134,220ENRD,276,-103.7927316,35.13770035
QY-0748,,585985,3850820,5160,,152,152,121OGLL,277,-104.0600671,34.79597758
PC-105,,368824,3908214,5869,RG-49957 X2,196,196,221MRSN/WWCN,278,-106.4429153,35.30853996
BW-0243,,405872,3659240,4530,,,300,110ALVM,279,-106.0083825,33.06766761
BW-0759,,637144,3906670,3991.14,,,278,231DCKM,280,-103.4917356,35.29382173
ED-0093,,553315,3593520,3450,,,110,110ALVM,281,-104.4326056,32.47762512
BW-0907,,492482,3552250,3662.31,,,140,110AVMB,282,-105.0796949,32.10656577
QY-0154,,607274,3893120,4090,,360,360,220ENRD,283,-103.8219352,35.17531637
TO-0370,,406427,3862170,6145.88,,,75,112QTBF,284,-106.024156,34.89764285
EB-320,,404048,3938249,6267.61,RG-22251 X3,200,200,121TSUQs,285,-106.0590706,35.5833149
BW-0761,,615162,3933520,4275.76,,,485,231DCKM,286,-103.729636,35.53863679
BW-0216,,400568,3659300,4365,,,,110ALVM,287,-106.0652014,33.06773639
SM-0170,,471687,3645792,5745.74,X,100,100,260SNAN_lower,288,-105.3029241,32.95007151
SD-0088,,385031,3871520,7211.59,X,120,120,325MDER,289,-106.2595758,34.97973798
EB-327,,398568,3942028,6186.59,RG-65489,300,300,121TSUQs,290,-106.1200201,35.61683532
HS-022,,289799,3667695,4243.11,X,,12,,291,-107.2531887,33.12762952
QY-0932,,584862,3877800,4460,,214,214,231CHNL,292,-104.0696004,35.0393336
SV-0098,,380030,3901606,6355.34,RG-80904,340,340,325MDER,293,-106.3187162,35.25037914
TO-0004,,429727,3797110,6430,,,312,310YESO,294,-105.7637728,34.3128638
QY-0489,,676084,3930570,3840,,35,35,110ALVM/110AVMB,295,-103.0585198,35.50310396
SD-0301,,390665,3891830,6779.18,X,160,160,050QUAL,296,-106.2005425,35.1634644
WS-021,,384207,3634146,3986.6,?,6,6,,297,-106.2372748,32.8392692
TO-0256,,382815,3852190,6900,,,,325MDER,298,-106.2811396,34.80521726
TO-0106,,410572,3828520,6040,,,7,112QTBF,299,-105.9752227,34.59461122
BW-0270,,405222,3654180,4405.81,,,225,110ALVM,300,-106.0148214,33.02197551
SA-0122,3.354E+14,227997,3754977,6864.32,RG-61144,120,120,112QTBF,301,-107.9414974,33.9001174
SM-0044,,455211,3622931,6776.64,PN-00755,320,320,300YESO,302,-105.478086,32.74330703
BW-0381,,407979,3628160,4077,,,297,110ALVM,303,-105.9827095,32.78753292
QY-0239,,614226,3896300,4030,,133,133,220ENRD,304,-103.7451639,35.20321753
EB-282,,413084,3949010,6889.84,X,296,296,121TSUQs,305,-105.9605098,35.68116279
QY-0577,,604148,3835500,4660,,56,56,121OGLL,306,-103.8634428,34.65615628
TV-143,,439606,4025327,6743.33,RG-83661,300,300,120SRVB/112LAMAb,307,-105.6732684,36.37116385
BC-0068,,378720,3892390,6702,S-02659 CLW,360,360,,308,-106.3317547,35.16714204
TO-0157,,399744,3836330,6160,,,153,112QTBF,309,-106.0942084,34.66402818
BW-0740,,591765,3594000,3297.03,,,160,312RSLR,310,-104.023396,32.47944526
TV-218,,442074,4022809,6963.42,RG-73095,460,460,121CHMT,311,-105.6455698,36.34861639
QY-0687,,598569,3840660,4730,,91,91,121OGLL,312,-103.9237148,34.7032328
QY-0787,,619631,3855110,4880,,174,174,121OGLL/231CHNL,313,-103.6917286,34.83125781
EB-402,,403682,3928549,6165.14,RG-12036,123,123,112ANCH,314,-106.0619563,35.49583304
BW-0149,,414475,3690680,5675,,,382,110ALVM,315,-105.9191906,33.35193339
SV-0139,,379505,3901088,6402.91,RG-91144,260,260,310ABO,316,-106.3244096,35.24564653
SA-0135,,271980,3697961,5252.46,RG-76210,220,220,112QTBFppm,317,-107.4516603,33.39677948
DA-0027,,340199,3600100,4335,,,790,112SNTF,318,-106.7015188,32.52675111
TO-0139,,398552,3838430,6185,,,,112QTBF,319,-106.1074679,34.68284484
EB-151,,411757,3950685,6953.37,exempt,376,363,121TSUQs,320,-105.9753562,35.69614521
QY-0253,,616322,3889110,4170,,240,240,220ENRD,321,-103.723157,35.13815931
BC-0221,,377830,3892050,6799.34,S-02775,1325,1275,,322,-106.3414749,35.16396921
PP-017,,436419,4006181,7316,RG-25565,98,98,110ALVM/123PICSm,323,-105.7072349,36.1983605
TO-0402,,403630,3875570,6222.2,,,320,112QTBF,324,-106.0563135,35.01819509
QY-0597,,600895,3833910,4710,,94,94,121OGLL,325,-103.8991264,34.6421461
TB-0108,,434495,3713137,6474.35,X,60,60,050QUAL,326,-105.7056805,33.55588014
SV-0072,,377909,3899152,6652.23,RG-77467,400,400,325MDER,327,-106.3416601,35.22800102
BW-0277,,411972,3652670,4875,,,420,110ALVM,328,-105.9424113,33.00892337
BC-0240,,377232,3884960,6614.34,S-01407,,170,,329,-106.3469863,35.09998178
PB-0010,,378639,3937210,5226,RG-83238,165,165,,330,-106.3393027,35.57115918
BW-0486,,397382,3788860,6268,,,610,300YESO,331,-106.1142837,34.23577898
SD-0155,,373430,3883700,6572.7,X,200,200,210MNCS,332,-106.3884975,35.08815276
CX-0033,,581940,4055230,6980,,,80,211GRRG,333,-104.0834129,36.63911562
TB-0036,,430716,3719961,5970.81,X,,,112QTBF,334,-105.746918,33.61718542
BC-0246,,377221,3892190,6859.68,S-02639,250,250,,335,-106.3481811,35.16515704
AS-034,,451311,4042190,8082.46,?,,,,336,-105.5438497,36.52384555
SM-0080,,452568,3649763,7068.81,PN-00805,300,300,300YESO,337,-105.5076735,32.98522685
SD-0254,,376360,3890470,7039.68,X,230,230,231CHNL,338,-106.3573753,35.14954624
QY-0432,,631171,3916350,4000,,279,279,231CHNL,339,-103.5558542,35.38187915
SV-0110,,379957,3898396,6647.97,RG-65094,480,480,325MDER,340,-106.3190498,35.22143323
WL-0146,,368090,3911554,5647,RG-84117 POD1,500,500,,341,-106.4515249,35.33855033
SD-0142,,374997,3885880,6740.43,X,38,38,110ALVM,342,-106.3716409,35.10800042
