PointID,SiteID,Easting,Northing,Altitude,OSEWellID,HoleDepth,WellDepth,FormationZone,ProjectName,MonitoringStatus,ObjectID,x,y
NM-23288,351349000000000,380502,3899387,6509,RG-75346 POD1,220,220,325MDER,Water Level Network,H,351,-106.3132066,35.23043192
NM-23307,351401000000000,381139,3899727,6359,RG-65870,225,225,325MDER,Water Level Network,H,352,-106.3062572,35.23357267
NM-23319,351412000000000,380384,3900089,6428,RG-64870 POD1,100,100,325MDER,Water Level Network,H,353,-106.3146052,35.23674618
PB-0020,,379073,3937477,5272,RG-17186,195,195,112QTBF,Water Level Network,W,354,-106.3345543,35.57361907
PC-002,,368431,3907123,6023,RG-49454,165,165,231PFDFU,Water Level Network,D,355,-106.4470618,35.29865392
PC-102,,365603,3907806,5707,RG-54556 S2,800,800,112SNTFP,Water Level Network,H,356,-106.4782682,35.30443437
QU-158,,444027,4051147,7717.73,RG-77208,245,245,112QTBF,Water Level Network,A,357,-105.6258565,36.60419022
SV-0002,,378735,3900491,6480.81,RG-66894,225,225,325MDER,Water Level Network,H,362,-106.3327829,35.24017189
SV-0004,,377722,3900313,6577.8,RG-75832,310,310,325MDER,Water Level Network,H,363,-106.3438871,35.23844419
SV-0012,,380709,3898378,6529.68,RG-62315,257,275,325MDER,Water Level Network,H,364,-106.3107861,35.2213607
SV-0014,,380340,3899698,6474.19,RG-64172,268,268,325MDER,Water Level Network,H,365,-106.3150317,35.23321617
SV-0022,,380813,3899488,6416.13,RG-71097 POD1,140,140,325MDER,Water Level Network,H,366,-106.3098044,35.23137944
SV-0028,,377822,3899842,6570.56,RG-71816,375,375,325MDER,Water Level Network,H,367,-106.3427184,35.23421051
SV-0032,,376948,3898974,6719.16,RG-74189,380,366,320SNDI/400SAND,Water Level Network,H,368,-106.3521912,35.22627893
SV-0034,,376872,3898746,6726.89,RG-66547,400,400,325MDER/400SAND,Water Level Network,H,369,-106.352992,35.22421427
SV-0038,,378232,3901631,6470.67,RG-67698,450,450,310ABO,Water Level Network,H,370,-106.3384787,35.25038755
SV-0044,,380599,3900322,6357.59,RG-89967,,300,325MDER,Water Level Network,H,371,-106.3122767,35.23887225
SV-0050,,378530,3898960,6569.69,RG-67548,400,400,325MDER,Water Level Network,H,372,-106.3348092,35.22634565
SV-0051,,378445,3898654,6621.81,RG-75831,480,480,325MDER,Water Level Network,H,373,-106.3356978,35.22357686
SV-0063,,377935,3901220,6512.45,RG-71929,325,325,325MDER,Water Level Network,H,374,-106.3416814,35.2466464
SV-0067,,378273,3899226,6548.69,RG-74853,325,325,325MDER,Water Level Network,H,375,-106.337672,35.22871237
SV-0069,,378276,3899205,6552.06,RG-67763,280,280,325MDER,Water Level Network,H,376,-106.337636,35.22852343
SV-0072,,377909,3899152,6652.23,RG-77467,400,400,325MDER,Water Level Network,H,377,-106.3416601,35.22800102
SV-0074,,377969,3899311,6613.11,RG-88595,400,400,325MDER,Water Level Network,H,378,-106.3410245,35.22944165
SV-0078,,378620,3898570,6605.53,RG-75499,452,450,325MDER,Water Level Network,H,379,-106.333763,35.22284083
QU-004,364247000000000,448107,4063193,7523.52,RG-10641 S2,500,500,112QTBF,Water Level Network,D,380,-105.5810548,36.71300955
SV-0003,,378004,3901032,6497.07,RG-69775,240,240,325MDER,Water Level Network,H,394,-106.3408953,35.24496006
SV-0007,,377227,3900148,6628.84,RG-92393,300,300,325MDER,Water Level Network,H,395,-106.3493014,35.23689626
SV-0009,,377000,3900421,6619.99,RG-90191,,300,325MDER,Water Level Network,H,396,-106.3518364,35.23932941
SV-0013,,380583,3899467,6464.45,RG-79866 POD2,280,280,325MDER,Water Level Network,H,397,-106.3123283,35.23116275
SV-0017,,379355,3899759,6605.1,RG-93620,480,480,325MDER,Water Level Network,H,398,-106.3258629,35.23364799
SV-0019,,381465,3898114,6370.71,RG-65687,270,270,325MDER,Water Level Network,H,399,-106.302443,35.21907046
SV-0023,,381056,3899797,6370.5,RG-83111,245,245,325MDER,Water Level Network,H,400,-106.3071793,35.23419386
SV-0024,,380906,3899879,6385.42,RG-73271,300,300,325MDER,Water Level Network,H,401,-106.3088392,35.23491525
SV-0027,,378082,3899902,6543.35,RG-75117,425,425,325MDER,Water Level Network,H,402,-106.3398706,35.23478305
SV-0029,,377677,3899606,6641.23,RG-81253,380,380,325MDER,Water Level Network,H,403,-106.3442764,35.23206537
SV-0033,,376713,3898851,6705.59,RG-76913,,,325MDER,Water Level Network,H,404,-106.3547545,35.22514127
SV-0037,,377791,3901474,6512.68,RG-66754,325,325,325MDER/310ABO,Water Level Network,H,405,-106.3433016,35.24891855
SV-0039,,378306,3901525,6452.98,RG-80954,345,340,310ABO,Water Level Network,H,406,-106.3376498,35.24944099
SV-0043,,380743,3900460,6353.39,RG-64830,180,180,325MDER,Water Level Network,H,407,-106.3107145,35.24013342
SV-0047,,380211,3898708,6788.23,RG-66591,525,525,325MDER,Water Level Network,H,408,-106.3163049,35.2242762
SV-0049,,378591,3899163,6542.8,RG-81242,260,260,325MDER,Water Level Network,H,409,-106.3341691,35.22818301
SV-0055,,377987,3898568,6728.6,RG-69774,500,500,325MDER,Water Level Network,H,410,-106.3407165,35.22274597
SV-0056,,379569,3900594,6413.15,RG-95124,300,300,325MDER,Water Level Network,H,411,-106.323634,35.24120098
SV-0060,,379331,3898282,6604.99,RG-89452,460,460,325MDER,Water Level Network,H,412,-106.32591,35.22033042
SV-0061,,379200,3898139,6601.95,RG-77058,,360,325MDER,Water Level Network,H,413,-106.327328,35.21902554
SV-0073,,377701,3899002,6709.69,RG-92073,,450,325MDER,Water Level Network,H,414,-106.3439229,35.22662348
SV-0077,,378026,3898666,6691.22,RG-67696,420,420,325MDER,Water Level Network,H,415,-106.3403026,35.22363415
SV-0079,,377615,3898456,6912.86,RG-67004,370,370,325MDER,Water Level Network,H,416,-106.3447865,35.221691
SV-0084,,377318,3898842,6958.19,RG-67809,740,740,325MDER,Water Level Network,H,417,-106.3481067,35.22513435
SV-0093,,379102,3901134,6442.69,RG-92347,320,312,325MDER,Water Level Network,H,418,-106.3288449,35.24601265
SV-0082,,377394,3898813,6940.84,RG-75532,600,600,325MDER,Water Level Network,H,419,-106.3472675,35.22488222
SV-0086,,378118,3900638,6518.51,RG-67401,170,170,325MDER,Water Level Network,H,420,-106.3395842,35.24142218
SV-0088,,378651,3900800,6483.04,RG-78778,200,200,325MDER,Water Level Network,H,421,-106.3337515,35.24294724
SV-0092,,379212,3900792,6442.67,RG-69055,185,185,325MDER,Water Level Network,H,422,-106.3275858,35.24294291
SV-0094,,379225,3901296,6427.72,RG-88880,263,263,325MDER,Water Level Network,H,423,-106.327517,35.24748786
SV-0106,,380580,3897895,6512.29,RG-69777,240,240,325MDER,Water Level Network,H,424,-106.3121331,35.21699123
SV-0107,,380474,3898109,6599.51,RG-67828,350,350,325MDER,Water Level Network,H,425,-106.3133286,35.21890776
SV-0116,,379076,3899077,6539.41,RG-77620,340,340,325MDER,Water Level Network,H,426,-106.328828,35.22746637
SV-0117,,378734,3899372,6508.31,RG-78465,420,420,325MDER,Water Level Network,H,427,-106.3326288,35.23008438
SV-0126,,379023,3899647,6544.68,RG-64456,305,305,325MDER,Water Level Network,H,428,-106.3294941,35.23259833
