"","facility_id","sys_loc_code","loc_name","data_provider","subfacility_code","loc_desc","loc_type","loc_purpose","loc_type_2","loc_major_basin","within_facility_yn","loc_county_code","loc_district_code","loc_state_code","loc_minor_basin","custom_field_1","stream_code","custom_field_2","stream_mile","custom_field_3","custom_field_4","phase_code","custom_field_5","remark_1","bore_id","remark_2","start_date","end_date","drilling_method","geologist","sampling_method","drawing_checker","drawing_check_date","drawing_editor","drawing_edit_date","driller","units","depth_to_bedrock","log_date","total_depth","bearing","approved","plunge","drilling_subcontractor","engineer_subcontractor","engineer","estab_company_code","excav_company_code","inspector","inspect_subcontractor","ebatch","map_code","parent_loc_code","status_flag","timezone_code","euid","land_use","hole_diameter","hole_diameter_unit","alert_purge_criteria","offset","station","route"
"1",1,"4HILLS1","4 HILLS WELL 1",NA,"4H","SHALLOW REGIONAL","GWMW","Monitoring",NA,NA,"Y","BERNALILLO COUNTY",NA,"NM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11381,NA,NA,"A",NA,1920127,NA,NA,NA,NA,NA,NA,NA
"2",1,"98ST1","98TH STREET WELL 1",NA,"USGS","DEEP REGIONAL","GWMW","Monitoring",NA,NA,"Y","BERNALILLO COUNTY",NA,"NM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11381,NA,NA,"A",NA,1920128,NA,NA,NA,NA,NA,NA,NA
"3",1,"98ST2","98TH STREET WELL 2",NA,"USGS","DEEP REGIONAL","GWMW","Monitoring",NA,NA,"Y","BERNALILLO COUNTY",NA,"NM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11381,NA,NA,"A",NA,1920129,NA,NA,NA,NA,NA,NA,NA
"4",1,"98ST3","98TH STREET WELL 3",NA,"USGS","DEEP REGIONAL","GWMW","Monitoring",NA,NA,"Y","BERNALILLO COUNTY",NA,"NM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11381,NA,NA,"A",NA,1920130,NA,NA,NA,NA,NA,NA,NA
"5",1,"98ST4","98TH STREET WELL 4",NA,"USGS","DEEP REGIONAL","GWMW","Monitoring",NA,NA,"Y","BERNALILLO COUNTY",NA,"NM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11381,NA,NA,"A",NA,1920131,NA,NA,NA,NA,NA,NA,NA
"6",1,"AGPROD","AMERICAN GYPSUM PRODUCTION WELL",NA,"LALF","LANDFILL","LALF GWM","Monitoring",NA,NA,"Y","BERNALILLO COUNTY",NA,"NM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11460,NA,NA,"A",NA,1920132,NA,NA,NA,NA,NA,NA,NA
"7",1,"AI01D","Air Injection Well 1 Deep",NA,"LALF",NA,"SVES",NA,NA,"Rio Grande","Y","BERNALILLO COUNTY",NA,"NM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11381,NA,NA,"A",NA,1920133,NA,NA,NA,NA,NA,NA,NA
"8",1,"AI01S","Air Injection Well 1 Shallow",NA,"LALF",NA,"SVES",NA,NA,"Rio Grande","Y","BERNALILLO COUNTY",NA,"NM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11381,NA,NA,"A",NA,1920134,NA,NA,NA,NA,NA,NA,NA
"9",1,"AI02D","Air Injection Well 2 Deep",NA,"LALF",NA,"SVES",NA,NA,"Rio Grande","Y","BERNALILLO COUNTY",NA,"NM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11381,NA,NA,"A",NA,1920135,NA,NA,NA,NA,NA,NA,NA
"10",1,"AI02S","Air Injection Well 2 Shallow",NA,"LALF",NA,"SVES",NA,NA,"Rio Grande","Y","BERNALILLO COUNTY",NA,"NM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11381,NA,NA,"A",NA,1920136,NA,NA,NA,NA,NA,NA,NA
"11",1,"AI03D","Air Injection Well 3 Deep",NA,"LALF",NA,"SVES",NA,NA,"Rio Grande","Y","BERNALILLO COUNTY",NA,"NM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11381,NA,NA,"A",NA,1920137,NA,NA,NA,NA,NA,NA,NA
"12",1,"AI03S","Air Injection Well 3 Shallow",NA,"LALF",NA,"SVES",NA,NA,"Rio Grande","Y","BERNALILLO COUNTY",NA,"NM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11381,NA,NA,"A",NA,1920138,NA,NA,NA,NA,NA,NA,NA
"13",1,"AIB","Air Injection Blower",NA,"LALF",NA,"SVES",NA,NA,"Rio Grande","Y","BERNALILLO COUNTY",NA,"NM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11381,NA,NA,"A",NA,1920139,NA,NA,NA,NA,NA,NA,NA
"14",1,"AIP01","Air Injecton Probe",NA,"LALF",NA,"AI PROBE",NA,NA,"Rio Grande","Y","BERNALILLO COUNTY",NA,"NM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11381,NA,NA,"A",NA,1920140,NA,NA,NA,NA,NA,NA,NA
"15",1,"AIP02","Air Injecton Probe",NA,"LALF",NA,"AI PROBE",NA,NA,"Rio Grande","Y","BERNALILLO COUNTY",NA,"NM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11381,NA,NA,"A",NA,1920141,NA,NA,NA,NA,NA,NA,NA
"16",1,"AIP03","Air Injecton Probe",NA,"LALF",NA,"AI PROBE",NA,NA,"Rio Grande","Y","BERNALILLO COUNTY",NA,"NM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11381,NA,NA,"A",NA,1920142,NA,NA,NA,NA,NA,NA,NA
"17",1,"AM01D","Alameda Business Park",NA,"LALF LFG MW","LFG Monitoring Well","LFGMW",NA,NA,NA,"Y","BERNALILLO COUNTY",NA,"NM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11381,NA,NA,"A",NA,1920143,NA,NA,NA,NA,NA,NA,NA
"18",1,"AM01M","Alameda Business Park",NA,"LALF LFG MW","LFG Monitoring Well","LFGMW",NA,NA,NA,"Y","BERNALILLO COUNTY",NA,"NM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11381,NA,NA,"A",NA,1920144,NA,NA,NA,NA,NA,NA,NA
"19",1,"AM01S","Alameda Business Park",NA,"LALF LFG MW","LFG Monitoring Well","LFGMW",NA,NA,NA,"Y","BERNALILLO COUNTY",NA,"NM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11381,NA,NA,"A",NA,1920145,NA,NA,NA,NA,NA,NA,NA
"20",1,"AM11D","Alameda Business Park",NA,"LALF LFG MW","LFG Monitoring Well","LFGMW",NA,NA,NA,"Y","BERNALILLO COUNTY",NA,"NM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11381,NA,NA,"A",NA,1920146,NA,NA,NA,NA,NA,NA,NA
